cTitulo,dModificacion,cURL,lEspañol,lIngles,lLingüistica,lRedesSociales,lGlobalizacion,lTurismo,lTecnologia,lInteligenciaArtificial,lAprendizajeAutomatico,lProcesamientoDelLenguajeNatural,lCienciaDeDatos,lCientificoDeDatos
Credit Card Approval Prediction,2020-03-24,www.kaggle.com/rikdifos/credit-card-approval-prediction,0,1,0,0,0,0,0,0,1,0,0,0
Food For Machine Learning,2020-04-24,www.kaggle.com/cristeaioan/ffml-dataset,0,1,0,0,0,0,0,0,1,0,0,0
Boston House Prices,2017-08-03,www.kaggle.com/vikrishnan/boston-house-prices,0,1,0,0,0,0,0,0,1,0,0,0
Zoo Animal Classification,2016-12-24,www.kaggle.com/uciml/zoo-animal-classification,0,1,0,0,0,0,0,0,1,0,0,0
Machine Learning for Diabetes with Python,2019-09-20,www.kaggle.com/rahulsah06/machine-learning-for-diabetes-with-python,0,1,0,0,0,0,0,0,1,0,0,0
Breast Cancer Wisconsin (Prognostic) Data Set,2017-04-01,www.kaggle.com/sarahvch/breast-cancer-wisconsin-prognostic-data-set,0,1,0,0,0,0,0,0,1,0,0,0
Deep-NLP,2017-03-01,www.kaggle.com/samdeeplearning/deepnlp,0,1,0,0,0,0,0,0,0,1,0,0
Text Similarity,2017-03-19,www.kaggle.com/rishisankineni/text-similarity,0,1,0,0,0,0,0,0,0,1,0,0
GitHub Bugs Prediction,2020-10-11,www.kaggle.com/anmolkumar/github-bugs-prediction,0,1,0,0,0,0,0,0,0,1,0,0
Stop words in 28 languages,2020-09-30,www.kaggle.com/heeraldedhia/stop-words-in-28-languages,0,1,0,0,0,0,0,0,0,1,0,0
English Word Frequency,2017-09-06,www.kaggle.com/rtatman/english-word-frequency,0,1,0,0,0,0,0,0,0,1,0,0
Python Questions from Stack Overflow,2019-10-08,www.kaggle.com/stackoverflow/pythonquestions,0,1,0,0,0,0,0,0,0,1,0,0
Stopword Lists for 19 Languages,2017-07-28,www.kaggle.com/rtatman/stopword-lists-for-19-languages,0,1,0,0,0,0,0,0,0,1,0,0
Medium Post Titles,2019-07-24,www.kaggle.com/nulldata/medium-post-titles,0,1,0,0,0,0,0,0,0,1,0,0
Bad Bad Words,2018-02-21,www.kaggle.com/nicapotato/bad-bad-words,0,1,0,0,0,0,0,0,0,1,0,0
Ironic Corpus,2017-07-25,www.kaggle.com/rtatman/ironic-corpus,0,1,0,0,0,0,0,0,0,1,0,0
Data Science Cheat Sheets,2020-02-04,www.kaggle.com/timoboz/data-science-cheat-sheets,0,1,0,0,0,0,0,0,0,0,1,0
UNCOVER COVID-19 Challenge,2020-08-10,www.kaggle.com/roche-data-science-coalition/uncover,0,1,0,0,0,0,0,0,0,0,1,0
Data Science for Good: PASSNYC,2018-06-26,www.kaggle.com/passnyc/data-science-for-good,0,1,0,0,0,0,0,0,0,0,1,0
[NeurIPS 2020] Data Science for COVID-19 (DS4C),2020-07-13,www.kaggle.com/kimjihoo/coronavirusdataset,0,1,0,0,0,0,0,0,0,0,1,0
Top 270 Computer Science / Programing Books,2021-01-11,www.kaggle.com/thomaskonstantin/top-270-rated-computer-science-programing-books,0,1,0,0,0,0,0,0,0,0,1,0
